Man or Mouse - Exact Theoretical Win Probabilities
======================================================================

Probabilities for a 2 person game:
----------------------------------------------------------------------
Hand     Win%       Tie%       Loss%
----------------------------------------------------------------------
AA      99.918%     0.082%     0.000%
KK      99.429%     0.082%     0.490%
QQ      98.939%     0.082%     0.980%
JJ      98.449%     0.082%     1.469%
1010    97.959%     0.082%     1.959%
99      97.469%     0.082%     2.449%
88      96.980%     0.082%     2.939%
77      96.490%     0.082%     3.429%
66      96.000%     0.082%     3.918%
55      95.510%     0.082%     4.408%
44      95.020%     0.082%     4.898%
33      94.531%     0.082%     5.388%
22      94.041%     0.082%     5.878%
AK      93.388%     0.735%     5.878%
AQ      92.408%     0.735%     6.857%
AJ      91.429%     0.735%     7.837%
A10     90.449%     0.735%     8.816%
A9      89.469%     0.735%     9.796%
A8      88.490%     0.735%    10.776%
A7      87.510%     0.735%    11.755%
A6      86.531%     0.735%    12.735%
A5      85.551%     0.735%    13.714%
A4      84.571%     0.735%    14.694%
A3      83.592%     0.735%    15.673%
A2      82.612%     0.735%    16.653%
KQ      78.367%     0.735%    20.898%
KJ      77.388%     0.735%    21.878%
K10     76.408%     0.735%    22.857%
K9      75.429%     0.735%    23.837%
K8      74.449%     0.735%    24.816%
K7      73.469%     0.735%    25.796%
K6      72.490%     0.735%    26.776%
K5      71.510%     0.735%    27.755%
K4      70.531%     0.735%    28.735%
K3      69.551%     0.735%    29.714%
K2      68.571%     0.735%    30.694%
QJ      64.653%     0.735%    34.612%
Q10     63.673%     0.735%    35.592%
Q9      62.694%     0.735%    36.571%
Q8      61.714%     0.735%    37.551%
Q7      60.735%     0.735%    38.531%
Q6      59.755%     0.735%    39.510%
Q5      58.776%     0.735%    40.490%
Q4      57.796%     0.735%    41.469%
Q3      56.816%     0.735%    42.449%
Q2      55.837%     0.735%    43.429%
J10     52.245%     0.735%    47.020%
J9      51.265%     0.735%    48.000%
J8      50.286%     0.735%    48.980%
J7      49.306%     0.735%    49.959%
J6      48.327%     0.735%    50.939%
J5      47.347%     0.735%    51.918%
J4      46.367%     0.735%    52.898%
J3      45.388%     0.735%    53.878%
J2      44.408%     0.735%    54.857%
109     41.143%     0.735%    58.122%
108     40.163%     0.735%    59.102%
107     39.184%     0.735%    60.082%
106     38.204%     0.735%    61.061%
105     37.224%     0.735%    62.041%
104     36.245%     0.735%    63.020%
103     35.265%     0.735%    64.000%
102     34.286%     0.735%    64.980%
98      31.347%     0.735%    67.918%
97      30.367%     0.735%    68.898%
96      29.388%     0.735%    69.878%
95      28.408%     0.735%    70.857%
94      27.429%     0.735%    71.837%
93      26.449%     0.735%    72.816%
92      25.469%     0.735%    73.796%
87      22.857%     0.735%    76.408%
86      21.878%     0.735%    77.388%
85      20.898%     0.735%    78.367%
84      19.918%     0.735%    79.347%
83      18.939%     0.735%    80.327%
82      17.959%     0.735%    81.306%
76      15.673%     0.735%    83.592%
75      14.694%     0.735%    84.571%
74      13.714%     0.735%    85.551%
73      12.735%     0.735%    86.531%
72      11.755%     0.735%    87.510%
65       9.796%     0.735%    89.469%
64       8.816%     0.735%    90.449%
63       7.837%     0.735%    91.429%
62       6.857%     0.735%    92.408%
54       5.224%     0.735%    94.041%
53       4.245%     0.735%    95.020%
52       3.265%     0.735%    96.000%
43       1.959%     0.735%    97.306%
42       0.980%     0.735%    98.286%
32       0.000%     0.735%    99.265%

Completed in 0.04 seconds

Probabilities for a 3 person game:
----------------------------------------------------------------------
Hand     Win%       Tie%       Loss%
----------------------------------------------------------------------
AA      99.837%     0.163%     0.000%
KK      98.858%     0.162%     0.979%
QQ      97.885%     0.162%     1.953%
JJ      96.917%     0.161%     2.922%
1010    95.955%     0.160%     3.885%
99      94.997%     0.159%     4.844%
88      94.045%     0.158%     5.797%
77      93.098%     0.157%     6.745%
66      92.156%     0.156%     7.687%
55      91.220%     0.155%     8.625%
44      90.288%     0.155%     9.557%
33      89.362%     0.154%    10.484%
22      88.441%     0.153%    11.406%
AK      87.217%     1.378%    11.405%
AQ      85.389%     1.368%    13.243%
AJ      83.576%     1.357%    15.066%
A10     81.777%     1.347%    16.876%
A9      79.991%     1.337%    18.672%
A8      78.220%     1.326%    20.454%
A7      76.462%     1.316%    22.222%
A6      74.718%     1.305%    23.977%
A5      72.988%     1.295%    25.717%
A4      71.272%     1.284%    27.443%
A3      69.570%     1.274%    29.156%
A2      67.882%     1.264%    30.855%
KQ      60.964%     1.149%    37.887%
KJ      59.442%     1.139%    39.419%
